URL,Title,Date,Venue
https://www.axs.com/events/515387/philadelphia-phillies-at-los-angeles-dodgers-tickets,Philadelphia Phillies at Los Angeles Dodgers,"TUE AUG 6, 2024 - 7:10 PM TUE AUG TUE - 7:10 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/544609/philadelphia-phillies-at-los-angeles-dodgers-parking-tickets,Philadelphia Phillies at Los Angeles Dodgers Parking,"TUE AUG 6, 2024 - 7:11 PM TUE AUG TUE - 7:11 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/535622/chris-brown-tickets,Chris Brown,"TUE AUG 6, 2024 - 7:30 PM TUE AUG TUE - 7:30 PM Crypto.com Arena, Los Angeles, CA","Crypto.com Arena, Los Angeles, CA"
https://www.axs.com/events/553281/the-gaslight-anthem-tickets,The Gaslight Anthem,"TUE AUG 6, 2024 - 7:30 PM TUE AUG TUE - 7:30 PM Greek Theatre, Los Angeles, CA","Greek Theatre, Los Angeles, CA"
https://www.axs.com/events/556674/peter-pan-tickets,Peter Pan,"TUE AUG 6, 2024 - 7:30 PM TUE AUG TUE - 7:30 PM Segerstrom Center for the Arts, Costa Mesa, CA","Segerstrom Center for the Arts, Costa Mesa, CA"
https://www.axs.com/events/559182/the-gaslight-anthem-parking-tickets,The Gaslight Anthem Parking,"TUE AUG 6, 2024 - 7:31 PM TUE AUG TUE - 7:31 PM Greek Theatre, Los Angeles, CA","Greek Theatre, Los Angeles, CA"
https://www.axs.com/events/559086/los-angeles-philharmonic-prokofiev-and-shostakovich-tickets,Los Angeles Philharmonic - Prokofiev and Shostakovich,"TUE AUG 6, 2024 - 8:00 PM TUE AUG TUE - 8:00 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/600889/roastournament-battle-21-event-tickets,Roastournament Battle (21+ Event),"TUE AUG 6, 2024 - 8:00 PM TUE AUG TUE - 8:00 PM Ontario Improv, Ontario, CA","Ontario Improv, Ontario, CA"
https://www.axs.com/events/624855/clue-the-musical-tickets,Clue - The Musical,"TUE AUG 6, 2024 - 8:00 PM TUE AUG TUE - 8:00 PM Ahmanson Theatre, Los Angeles, CA","Ahmanson Theatre, Los Angeles, CA"
https://www.axs.com/events/559075/los-angeles-philharmonic-parking-tickets,Los Angeles Philharmonic Parking,"TUE AUG 6, 2024 - 8:01 PM TUE AUG TUE - 8:01 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/620698/pageant-of-the-masters-tickets,Pageant of the Masters,"TUE AUG 6, 2024 - 8:30 PM TUE AUG TUE - 8:30 PM Irvine Bowl, Laguna Beach, CA","Irvine Bowl, Laguna Beach, CA"
https://www.axs.com/events/542454/fresno-grizzlies-at-rancho-cucamonga-quakes-tickets,Fresno Grizzlies at Rancho Cucamonga Quakes,"WED AUG 7, 2024 - 6:30 PM WED AUG WED - 6:30 PM LoanMart Field, Rancho Cucamonga, CA","LoanMart Field, Rancho Cucamonga, CA"
https://www.axs.com/events/606699/sean-rowe-21-event-tickets,Sean Rowe (21+ Event),"WED AUG 7, 2024 - 6:30 PM WED AUG WED - 6:30 PM The Moroccan Lounge, Los Angeles, CA","The Moroccan Lounge, Los Angeles, CA"
https://www.axs.com/events/610956/jesse-rutherford-tickets,Jesse Rutherford,"WED AUG 7, 2024 - 7:00 PM WED AUG WED - 7:00 PM Belasco Theater Los Angeles, Los Angeles, CA","Belasco Theater Los Angeles, Los Angeles, CA"
https://www.axs.com/events/624524/country-night-tickets,Country Night,"WED AUG 7, 2024 - 7:00 PM WED AUG WED - 7:00 PM The Canyon Agoura Hills, Agoura Hills, CA","The Canyon Agoura Hills, Agoura Hills, CA"
https://www.axs.com/events/515404/philadelphia-phillies-at-los-angeles-dodgers-sandy-koufax-bobblehead-g-tickets,Philadelphia Phillies at Los Angeles Dodgers (Sandy Koufax Bobblehead Giveaway),"WED AUG 7, 2024 - 7:10 PM WED AUG WED - 7:10 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/544616/philadelphia-phillies-at-los-angeles-dodgers-parking-tickets,Philadelphia Phillies at Los Angeles Dodgers Parking,"WED AUG 7, 2024 - 7:11 PM WED AUG WED - 7:11 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/535615/chris-brown-tickets,Chris Brown,"WED AUG 7, 2024 - 7:30 PM WED AUG WED - 7:30 PM Crypto.com Arena, Los Angeles, CA","Crypto.com Arena, Los Angeles, CA"
https://www.axs.com/events/553304/walker-hayes-tickets,Walker Hayes,"WED AUG 7, 2024 - 7:30 PM WED AUG WED - 7:30 PM Pacific Amphitheatre, Costa Mesa, CA","Pacific Amphitheatre, Costa Mesa, CA"
https://www.axs.com/events/556704/peter-pan-tickets,Peter Pan,"WED AUG 7, 2024 - 7:30 PM WED AUG WED - 7:30 PM Segerstrom Center for the Arts, Costa Mesa, CA","Segerstrom Center for the Arts, Costa Mesa, CA"
https://www.axs.com/events/560699/company-tickets,Company,"WED AUG 7, 2024 - 7:30 PM WED AUG WED - 7:30 PM Pantages Theatre - CA, Los Angeles, CA","Pantages Theatre - CA, Los Angeles, CA"
https://www.axs.com/events/574448/walker-hayes-parking-tickets,Walker Hayes Parking,"WED AUG 7, 2024 - 7:31 PM WED AUG WED - 7:31 PM Pacific Amphitheatre, Costa Mesa, CA","Pacific Amphitheatre, Costa Mesa, CA"
https://www.axs.com/events/552552/hollywood-bowl-jazz-plus-laufey-tickets,Hollywood Bowl Jazz Plus - Laufey,"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/556423/amen-dunes-rescheduled-from-510-tickets,Amen Dunes (Rescheduled from 5/10),"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM The Bellwether, Los Angeles, CA","The Bellwether, Los Angeles, CA"
https://www.axs.com/events/556806/division-minuscula-tickets,Division Minuscula,"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM The Observatory, Santa Ana, CA","The Observatory, Santa Ana, CA"
https://www.axs.com/events/582216/underscores-tickets,underscores,"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM El Rey Theatre, Los Angeles, CA","El Rey Theatre, Los Angeles, CA"
https://www.axs.com/events/591392/jpegmafia-lay-down-my-life-tour-tickets,JPEGMAFIA - LAY DOWN MY LIFE TOUR,"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM Fox Theater Pomona, Pomona, CA","Fox Theater Pomona, Pomona, CA"
https://www.axs.com/events/594736/lil-mabu-tickets,Lil Mabu,"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM The Roxy, Los Angeles, CA","The Roxy, Los Angeles, CA"
https://www.axs.com/events/608267/wailing-souls-21-event-tickets,Wailing Souls (21+ Event),"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM The Venice West, Los Angeles, CA","The Venice West, Los Angeles, CA"
https://www.axs.com/events/624844/clue-the-musical-tickets,Clue - The Musical,"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM Ahmanson Theatre, Los Angeles, CA","Ahmanson Theatre, Los Angeles, CA"
https://www.axs.com/events/625064/anvil-tickets,Anvil,"WED AUG 7, 2024 - 8:00 PM WED AUG WED - 8:00 PM The Parish at House of Blues Anaheim, Anaheim, CA","The Parish at House of Blues Anaheim, Anaheim, CA"
https://www.axs.com/events/559060/hollywood-bowl-jazz-plus-parking-tickets,Hollywood Bowl Jazz Plus Parking,"WED AUG 7, 2024 - 8:01 PM WED AUG WED - 8:01 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/559084/laufey-parking-tickets,Laufey Parking,"WED AUG 7, 2024 - 8:01 PM WED AUG WED - 8:01 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/606934/queen-nation-tickets,Queen Nation,"WED AUG 7, 2024 - 8:15 PM WED AUG WED - 8:15 PM Orange County Fair & Event Center, Costa Mesa, CA","Orange County Fair & Event Center, Costa Mesa, CA"
https://www.axs.com/events/620697/pageant-of-the-masters-tickets,Pageant of the Masters,"WED AUG 7, 2024 - 8:30 PM WED AUG WED - 8:30 PM Irvine Bowl, Laguna Beach, CA","Irvine Bowl, Laguna Beach, CA"
https://www.axs.com/events/553303/rebelution-tickets,Rebelution,"THU AUG 8, 2024 - 5:00 PM THU AUG THU - 5:00 PM Pacific Amphitheatre, Costa Mesa, CA","Pacific Amphitheatre, Costa Mesa, CA"
https://www.axs.com/events/574458/rebelution-parking-tickets,Rebelution Parking,"THU AUG 8, 2024 - 5:01 PM THU AUG THU - 5:01 PM Pacific Amphitheatre, Costa Mesa, CA","Pacific Amphitheatre, Costa Mesa, CA"
https://www.axs.com/events/542400/fresno-grizzlies-at-rancho-cucamonga-quakes-tickets,Fresno Grizzlies at Rancho Cucamonga Quakes,"THU AUG 8, 2024 - 6:30 PM THU AUG THU - 6:30 PM LoanMart Field, Rancho Cucamonga, CA","LoanMart Field, Rancho Cucamonga, CA"
https://www.axs.com/events/606706/the-burkharts-tickets,The Burkharts,"THU AUG 8, 2024 - 6:30 PM THU AUG THU - 6:30 PM The Moroccan Lounge, Los Angeles, CA","The Moroccan Lounge, Los Angeles, CA"
https://www.axs.com/events/517465/oar-tickets,OAR,"THU AUG 8, 2024 - 6:55 PM THU AUG THU - 6:55 PM Greek Theatre, Los Angeles, CA","Greek Theatre, Los Angeles, CA"
https://www.axs.com/events/559179/oar-parking-tickets,OAR Parking,"THU AUG 8, 2024 - 6:56 PM THU AUG THU - 6:56 PM Greek Theatre, Los Angeles, CA","Greek Theatre, Los Angeles, CA"
https://www.axs.com/events/553272/alex-g-alexander-giannascoli-tickets,Alex G - Alexander Giannascoli,"THU AUG 8, 2024 - 7:00 PM THU AUG THU - 7:00 PM House of Blues Anaheim, Anaheim, CA","House of Blues Anaheim, Anaheim, CA"
https://www.axs.com/events/556804/the-hives-tickets,The Hives,"THU AUG 8, 2024 - 7:00 PM THU AUG THU - 7:00 PM The Observatory, Santa Ana, CA","The Observatory, Santa Ana, CA"
https://www.axs.com/events/599280/tributes-to-soundgarden-stone-temple-pilots-tickets,Tributes to Soundgarden & Stone Temple Pilots,"THU AUG 8, 2024 - 7:00 PM THU AUG THU - 7:00 PM The Canyon Agoura Hills, Agoura Hills, CA","The Canyon Agoura Hills, Agoura Hills, CA"
https://www.axs.com/events/625043/dan-spencer-tickets,Dan Spencer,"THU AUG 8, 2024 - 7:00 PM THU AUG THU - 7:00 PM The Parish at House of Blues Anaheim, Anaheim, CA","The Parish at House of Blues Anaheim, Anaheim, CA"
https://www.axs.com/events/628921/dada-tickets,Dada,"THU AUG 8, 2024 - 7:00 PM THU AUG THU - 7:00 PM Troubadour, West Hollywood, CA","Troubadour, West Hollywood, CA"
https://www.axs.com/events/556712/peter-pan-tickets,Peter Pan,"THU AUG 8, 2024 - 7:30 PM THU AUG THU - 7:30 PM Segerstrom Center for the Arts, Costa Mesa, CA","Segerstrom Center for the Arts, Costa Mesa, CA"
https://www.axs.com/events/560701/company-tickets,Company,"THU AUG 8, 2024 - 7:30 PM THU AUG THU - 7:30 PM Pantages Theatre - CA, Los Angeles, CA","Pantages Theatre - CA, Los Angeles, CA"
https://www.axs.com/events/559062/los-angeles-philharmonic-symphonic-tango-and-flamenco-tickets,Los Angeles Philharmonic - Symphonic Tango and Flamenco,"THU AUG 8, 2024 - 8:00 PM THU AUG THU - 8:00 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/577155/driveways-tickets,Driveways,"THU AUG 8, 2024 - 8:00 PM THU AUG THU - 8:00 PM The Echo, Los Angeles, CA","The Echo, Los Angeles, CA"
https://www.axs.com/events/602768/ruel-tickets,Ruel,"THU AUG 8, 2024 - 8:00 PM THU AUG THU - 8:00 PM The Roxy, Los Angeles, CA","The Roxy, Los Angeles, CA"
https://www.axs.com/events/610977/as-i-lay-dying-tickets,As I Lay Dying,"THU AUG 8, 2024 - 8:00 PM THU AUG THU - 8:00 PM Belasco Theater Los Angeles, Los Angeles, CA","Belasco Theater Los Angeles, Los Angeles, CA"
https://www.axs.com/events/611085/roosevelt-tickets,Roosevelt,"THU AUG 8, 2024 - 8:00 PM THU AUG THU - 8:00 PM The Bellwether, Los Angeles, CA","The Bellwether, Los Angeles, CA"
https://www.axs.com/events/624838/clue-the-musical-tickets,Clue - The Musical,"THU AUG 8, 2024 - 8:00 PM THU AUG THU - 8:00 PM Ahmanson Theatre, Los Angeles, CA","Ahmanson Theatre, Los Angeles, CA"
https://www.axs.com/events/631779/comedy-juice-21-event-tickets,Comedy Juice (21+ Event),"THU AUG 8, 2024 - 8:00 PM THU AUG THU - 8:00 PM The Stand Up Comedy Club, Bellflower, CA","The Stand Up Comedy Club, Bellflower, CA"
https://www.axs.com/events/559079/los-angeles-philharmonic-parking-tickets,Los Angeles Philharmonic Parking,"THU AUG 8, 2024 - 8:01 PM THU AUG THU - 8:01 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/606920/queen-nation-tickets,Queen Nation,"THU AUG 8, 2024 - 8:15 PM THU AUG THU - 8:15 PM Orange County Fair & Event Center, Costa Mesa, CA","Orange County Fair & Event Center, Costa Mesa, CA"
https://www.axs.com/events/620690/pageant-of-the-masters-tickets,Pageant of the Masters,"THU AUG 8, 2024 - 8:30 PM THU AUG THU - 8:30 PM Irvine Bowl, Laguna Beach, CA","Irvine Bowl, Laguna Beach, CA"
https://www.axs.com/events/536360/leisure-tickets,Leisure,"THU AUG 8, 2024 - 9:00 PM THU AUG THU - 9:00 PM Fonda Theatre, Los Angeles, CA","Fonda Theatre, Los Angeles, CA"
https://www.axs.com/events/609720/taylah-elaine-18-event-moved-from-the-echo-tickets,Taylah Elaine (18+ Event) (Moved from The Echo),"THU AUG 8, 2024 - 9:00 PM THU AUG THU - 9:00 PM The Echoplex, Los Angeles, CA","The Echoplex, Los Angeles, CA"
https://www.axs.com/events/606694/solomon-fox-tickets,Solomon Fox,"THU AUG 8, 2024 - 9:30 PM THU AUG THU - 9:30 PM The Moroccan Lounge, Los Angeles, CA","The Moroccan Lounge, Los Angeles, CA"
https://www.axs.com/events/600873/anjelah-johnson-21-event-tickets,Anjelah Johnson (21+ Event),"THU AUG 8, 2024 - 9:45 PM THU AUG THU - 9:45 PM Ontario Improv, Ontario, CA","Ontario Improv, Ontario, CA"
https://www.axs.com/events/550264/foo-fighters-parking-tickets,Foo Fighters Parking,"FRI AUG 9, 2024 - 5:30 AM FRI AUG FRI - 5:30 AM BMO Stadium, Los Angeles, CA","BMO Stadium, Los Angeles, CA"
https://www.axs.com/events/553308/rebelution-tickets,Rebelution,"FRI AUG 9, 2024 - 5:00 PM FRI AUG FRI - 5:00 PM Pacific Amphitheatre, Costa Mesa, CA","Pacific Amphitheatre, Costa Mesa, CA"
https://www.axs.com/events/574456/rebelution-parking-tickets,Rebelution Parking,"FRI AUG 9, 2024 - 5:01 PM FRI AUG FRI - 5:01 PM Pacific Amphitheatre, Costa Mesa, CA","Pacific Amphitheatre, Costa Mesa, CA"
https://www.axs.com/events/506497/foo-fighters-tickets,Foo Fighters,"FRI AUG 9, 2024 - 5:30 PM FRI AUG FRI - 5:30 PM BMO Stadium, Los Angeles, CA","BMO Stadium, Los Angeles, CA"
https://www.axs.com/events/578518/millionaires-tickets,Millionaires,"FRI AUG 9, 2024 - 6:00 PM FRI AUG FRI - 6:00 PM Whisky a Go Go, Los Angeles, CA","Whisky a Go Go, Los Angeles, CA"
https://www.axs.com/events/543042/fresno-grizzlies-at-rancho-cucamonga-quakes-tickets,Fresno Grizzlies at Rancho Cucamonga Quakes,"FRI AUG 9, 2024 - 6:30 PM FRI AUG FRI - 6:30 PM LoanMart Field, Rancho Cucamonga, CA","LoanMart Field, Rancho Cucamonga, CA"
https://www.axs.com/events/552971/megadeth-tickets,Megadeth,"FRI AUG 9, 2024 - 6:30 PM FRI AUG FRI - 6:30 PM YouTube Theater, Inglewood, CA","YouTube Theater, Inglewood, CA"
https://www.axs.com/events/606701/cherry-ferrari-tickets,Cherry Ferrari,"FRI AUG 9, 2024 - 6:30 PM FRI AUG FRI - 6:30 PM The Moroccan Lounge, Los Angeles, CA","The Moroccan Lounge, Los Angeles, CA"
https://www.axs.com/events/617864/sparkle-gma-artist-center-tickets,Sparkle GMA Artist Center,"FRI AUG 9, 2024 - 6:30 PM FRI AUG FRI - 6:30 PM City National Grove of Anaheim, Anaheim, CA","City National Grove of Anaheim, Anaheim, CA"
https://www.axs.com/events/530844/luke-bryan-tickets,Luke Bryan,"FRI AUG 9, 2024 - 7:00 PM FRI AUG FRI - 7:00 PM Kia Forum, Inglewood, CA","Kia Forum, Inglewood, CA"
https://www.axs.com/events/536268/ringling-bros-bb-circus-tickets,Ringling Bros B&B Circus,"FRI AUG 9, 2024 - 7:00 PM FRI AUG FRI - 7:00 PM Toyota Arena, Ontario, CA","Toyota Arena, Ontario, CA"
https://www.axs.com/events/553275/alex-g-alexander-giannascoli-tickets,Alex G - Alexander Giannascoli,"FRI AUG 9, 2024 - 7:00 PM FRI AUG FRI - 7:00 PM House of Blues Anaheim, Anaheim, CA","House of Blues Anaheim, Anaheim, CA"
https://www.axs.com/events/557712/mac-mcanally-tickets,Mac McAnally,"FRI AUG 9, 2024 - 7:00 PM FRI AUG FRI - 7:00 PM Troubadour, West Hollywood, CA","Troubadour, West Hollywood, CA"
https://www.axs.com/events/563588/iglu-and-hartly-21-event-tickets,Iglu and Hartly (21+ Event),"FRI AUG 9, 2024 - 7:00 PM FRI AUG FRI - 7:00 PM The Peppermint Club, West Hollywood, CA","The Peppermint Club, West Hollywood, CA"
https://www.axs.com/events/591899/driveways-tickets,Driveways,"FRI AUG 9, 2024 - 7:00 PM FRI AUG FRI - 7:00 PM The Parish at House of Blues Anaheim, Anaheim, CA","The Parish at House of Blues Anaheim, Anaheim, CA"
https://www.axs.com/events/598398/postmodern-jukebox-tickets,Postmodern Jukebox,"FRI AUG 9, 2024 - 7:00 PM FRI AUG FRI - 7:00 PM Fox Performing Arts Center, Riverside, CA","Fox Performing Arts Center, Riverside, CA"
https://www.axs.com/events/555265/luke-bryan-parking-tickets,Luke Bryan Parking,"FRI AUG 9, 2024 - 7:01 PM FRI AUG FRI - 7:01 PM Kia Forum, Inglewood, CA","Kia Forum, Inglewood, CA"
https://www.axs.com/events/583818/ringling-bros-bb-circus-parking-tickets,Ringling Bros B&B Circus Parking,"FRI AUG 9, 2024 - 7:01 PM FRI AUG FRI - 7:01 PM Toyota Arena, Ontario, CA","Toyota Arena, Ontario, CA"
https://www.axs.com/events/515400/pittsburgh-pirates-at-los-angeles-dodgers-dusty-baker-bobblehead-givea-tickets,Pittsburgh Pirates at Los Angeles Dodgers (Dusty Baker Bobblehead Giveaway),"FRI AUG 9, 2024 - 7:10 PM FRI AUG FRI - 7:10 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/544603/pittsburgh-pirates-at-los-angeles-dodgers-parking-tickets,Pittsburgh Pirates at Los Angeles Dodgers Parking,"FRI AUG 9, 2024 - 7:11 PM FRI AUG FRI - 7:11 PM Dodger Stadium, Los Angeles, CA","Dodger Stadium, Los Angeles, CA"
https://www.axs.com/events/533647/charley-crockett-tickets,Charley Crockett,"FRI AUG 9, 2024 - 7:30 PM FRI AUG FRI - 7:30 PM Greek Theatre, Los Angeles, CA","Greek Theatre, Los Angeles, CA"
https://www.axs.com/events/556696/peter-pan-tickets,Peter Pan,"FRI AUG 9, 2024 - 7:30 PM FRI AUG FRI - 7:30 PM Segerstrom Center for the Arts, Costa Mesa, CA","Segerstrom Center for the Arts, Costa Mesa, CA"
https://www.axs.com/events/560724/company-tickets,Company,"FRI AUG 9, 2024 - 7:30 PM FRI AUG FRI - 7:30 PM Pantages Theatre - CA, Los Angeles, CA","Pantages Theatre - CA, Los Angeles, CA"
https://www.axs.com/events/575708/nova-charisma-tickets,Nova Charisma,"FRI AUG 9, 2024 - 7:30 PM FRI AUG FRI - 7:30 PM NEW VENUE El Rey Theatre, Los Angeles, CA","El Rey Theatre, Los Angeles, CA"
https://www.axs.com/events/599484/russell-peters-21-event-tickets,Russell Peters (21+ Event),"FRI AUG 9, 2024 - 7:30 PM FRI AUG FRI - 7:30 PM Irvine Improv, Irvine, CA","Irvine Improv, Irvine, CA"
https://www.axs.com/events/600868/anjelah-johnson-21-event-tickets,Anjelah Johnson (21+ Event),"FRI AUG 9, 2024 - 7:30 PM FRI AUG FRI - 7:30 PM Ontario Improv, Ontario, CA","Ontario Improv, Ontario, CA"
https://www.axs.com/events/533479/seal-and-emily-king-tickets,Seal and Emily King,"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/570987/the-motherboard-suite-featuring-saul-williams-tickets,The Motherboard Suite Featuring Saul Williams,"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM John Anson Ford, Los Angeles, CA","John Anson Ford, Los Angeles, CA"
https://www.axs.com/events/571648/five-iron-frenzy-tickets,Five Iron Frenzy,"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM The Observatory, Santa Ana, CA","The Observatory, Santa Ana, CA"
https://www.axs.com/events/575351/the-hustle-dance-party-tickets,The Hustle Dance Party,"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM Teragram Ballroom, Los Angeles, CA","Teragram Ballroom, Los Angeles, CA"
https://www.axs.com/events/590011/4batz-tickets,4batz,"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM The Echoplex, Los Angeles, CA","The Echoplex, Los Angeles, CA"
https://www.axs.com/events/608287/poncho-sanchez-21-event-tickets,Poncho Sanchez (21+ Event),"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM The Venice West, Los Angeles, CA","The Venice West, Los Angeles, CA"
https://www.axs.com/events/619080/nattali-rize-21-event-tickets,Nattali Rize (21+ Event),"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM Saint Rocke, Hermosa Beach, CA","Saint Rocke, Hermosa Beach, CA"
https://www.axs.com/events/624841/clue-the-musical-tickets,Clue - The Musical,"FRI AUG 9, 2024 - 8:00 PM FRI AUG FRI - 8:00 PM Ahmanson Theatre, Los Angeles, CA","Ahmanson Theatre, Los Angeles, CA"
https://www.axs.com/events/559068/seal-parking-tickets,Seal Parking,"FRI AUG 9, 2024 - 8:01 PM FRI AUG FRI - 8:01 PM Hollywood Bowl, Hollywood, CA","Hollywood Bowl, Hollywood, CA"
https://www.axs.com/events/606931/no-duh-no-doubt-tribute-tickets,No Duh - No Doubt Tribute,"FRI AUG 9, 2024 - 8:15 PM FRI AUG FRI - 8:15 PM Orange County Fair & Event Center, Costa Mesa, CA","Orange County Fair & Event Center, Costa Mesa, CA"
https://www.axs.com/events/565234/iron-chic-tickets,Iron Chic,"FRI AUG 9, 2024 - 8:30 PM FRI AUG FRI - 8:30 PM Constellation Room, Santa Ana, CA","Constellation Room, Santa Ana, CA"
https://www.axs.com/events/620694/pageant-of-the-masters-tickets,Pageant of the Masters,"FRI AUG 9, 2024 - 8:30 PM FRI AUG FRI - 8:30 PM Irvine Bowl, Laguna Beach, CA","Irvine Bowl, Laguna Beach, CA"
https://www.axs.com/events/530680/don-mclean-tickets,Don McLean,"FRI AUG 9, 2024 - 9:00 PM FRI AUG FRI - 9:00 PM The Canyon Montclair, Montclair, CA","The Canyon Montclair, Montclair, CA"
https://www.axs.com/events/608890/zz-top-trib-beer-drinkers-hell-raisers-tickets,ZZ TOP Trib: BEER DRINKERS & HELL RAISERS,"FRI AUG 9, 2024 - 9:00 PM FRI AUG FRI - 9:00 PM The Canyon Agoura Hills, Agoura Hills, CA","The Canyon Agoura Hills, Agoura Hills, CA"
